id_jeu,titre_jeu,References,auteurs,date_parution_debut,date_parution_fin,information_date,version,nombre_joueurs,age_min,mots_cles,num_boite,localisation_cnj,mecanisme1,mecanisme2,mecanisme3,collection_origine,etat,code_barre
3319.0,1000 Questions,Fernand NATHAN(Editeur - Distributeur) / ,,1964.0,,Boite,France,1- ou plus,,"Connaissances, Educatif",1.0,Connaissance 1,Connaissances,,,,,
396.0,Brevet (Jeu Du),PLAY BAC / ,,1987.0,,Boite,France,2-6,,"Connaissances, Ecole, Qr",1.0,Connaissance 1,Connaissances,,,,,
3320.0,1000 Questions 2 Série,NATHAN(Editeur - Distributeur) / ,,1966.0,,Estimation,France,1- ou plus,,"Connaissances, Educatif",1.0,,Connaissances,,,,,
4469.0,Defi Du Sphinx (Le),LUDOTECH / ,,1997.0,,Boite,France,2-6 ou plus,10,"Connaissances, Histoire",1.0,Connaissance 2,Connaissances,Affrontement,Deck building,,,
774.0,Quid Electrique (Robert Laffont),JEUX ROBERT LAFFONT / ,,1980.0,,Boite,France,1-5 ou plus,,"Connaissances, Électronique",1.0,Connaissance 1,Connaissances,,,,,
4807.0,Family Quiz (Computer),JUMBO International / ,,1981.0,,Boite,France,2-4,,"Connaissances, Électronique",1.0,Connaissance 1,Connaissances,,,,,
9969.0,Monde Du Vin (Le),HUCH & FRIENDS(Editeur - Distributeur) / ,,2009.0,,,France,2-6,18,"Connaissances, Vins Et Spiritueux",1.0,Divers 15,Connaissances,Parcours,,,,
5602.0,Match De L'Actualite (Le),GRAND V / ,,1990.0,,,France,2-6,,"Metiers, Presse, Reporters",2.0,"Tele, Radio, Media 4",Connaissances,,,,,
300.0,Guinness Des Records,SCHMIDT / ,,1992.0,,,France,2-12,10,"Connaissances, Droit Derive",2.0,Connaissance 1,Connaissances,,,,,
6125.0,Professeur Magic,FERRIOT / ,,,,,Belgique,1,,Connaissances,2.0,Connaissance 1,,,,,,
783.0,Quizzard,NATHAN / ,,1992.0,,Boite,Belgique,2-6,,Connaissances,2.0,Connaissance 1,Connaissances,Rapidité / réflexes,,,,
7278.0,Tarzan & Jane (Lovecubes),BRAND X Games(Editeur - Distributeur) / ,,2009.0,,,Belgique,2,18,"Sexualité, Érotisme, Jeux De Couple",3.0,Amour,Connaissances,Gage,,,,
7284.0,Kama Sutra (Lovecubes),BRAND X Games(Editeur - Distributeur) / ,,2009.0,,,Belgique,2,18,"Sexualité, Érotisme, Jeux De Couple",3.0,Amour,Connaissances,Gage,,,,
7279.0,Romeo & Juliet (Lovecubes),BRAND X Games(Editeur - Distributeur) / ,,2009.0,,Acquisition Nouveauté France,Belgique,2,18,"Sexualité, Érotisme, Jeux De Couple",3.0,Amour,Connaissances,Gage,,,,
7279.0,Femme Fatale (Lovecubes),BRAND X Games(Editeur - Distributeur) / ,,2009.0,,Acquisition Nouveauté France,France,2,18,"Sexualité, Érotisme, Jeux De Couple",3.0,Amour,Connaissances,Gage,,,,
7253.0,Phantasm (Brand X Games 2009),BRAND X Games(Editeur - Distributeur) / ,,2009.0,,Boite,France,2,18,"Sexualité, Érotisme, Jeux De Couple",3.0,Amour,Jeu de rôles,,,,,
6811.0,Tous Ego,JUMBO International / ,,1998.0,,Boite,France,3-6,18,"Ambiance, Adultes, Question Réponse",3.0,Psy,Question réponse,Vote,,,,
,Kamasutra Dice,Big & Bouncy Porductions,,,,,France,,,,3.0,,,,,,,
4930.0,Fugitifs (Les),ROBERT LAFFONT(Editeur) / ,Henri Sala(Auteur) /,,,,France,2-4,10,,3.0,Tv Radio Medias 2,,,,,,
5925.0,Parcours D'Enfer,HABOURDIN International / Tecipress - F Productions - Talbot Television / ,,1987.0,,Boite,France,3-6 ou plus,12,Television (Jeu) Connaissance Qr,3.0,"Tele, Radio, Media 1",,,,,,
5607.0,Max Le Serveur,MB France / ,,1991.0,,Boite,France,2-4,6,"Metiers, Restauration (Lieu Et Métier)",4.0,Vie Quotidienne 1,Adresse,,,,,
4589.0,Docteur Maboul (1996),MB Jeux / Hasbro France / Hasbro International Inc / ,,1996.0,,Boite,France,2-4,6,"Docteur, Medecine, Métiers Chirurgien",4.0,Vie Quotidienne 3,Adresse,,,,,
6220.0,Reactissimo,JEU XENIO / ,Xénio Fantodji (Auteur),2004.0,,Boite,Allemande,2-4,10,Ambiance Gages,4.0,Ambiance 4,Expression gestuelle,Connaissances,Parcours,,,
7129.0,Zuma,Kenner Parker France(Editeur - Distributeur) / ,,1993.0,,Boite,Allemagne,3-6,12,"Ambiance, Connaissances, Mime",4.0,Ambiance 3,Observation / écoute,Rapidité / réflexes,,,,
7561.0,Jungle Speed - Scooby Doo,ASMODEE(Editeur - Distributeur) / Hanna Barbera Productions Inc(Licence) / Warner Bros Inc(Licence) / ,VUARCHEX Thomas(Auteur) / YAKOVENKO Pierric(Auteur) /,2009.0,,Acquisition,Allemagne,3-15,7,Ambiance Dd Dessin Animé Chien,4.0,Ambiance Pb,Observation / écoute,Rapidité / réflexes,,,,
,Gnomenbaum,Small Foot Design,,,,,France,2-4,3,,4.0,,,,,,,
9964.0,Watai Vert,DUJARDIN(Editeur - Distributeur) / ,Seth Blaine,2011.0,,,Allemagne,2-4,7,Ambiance,4.0,Divers 15,Gestion de main,Connexion,,,,
10010.0,Agricola Ext. Fermiers De La Lande,YSTARI Games(Editeur - Distributeur) / ,ROSENBERG Uwe (Auteur) / KLEMENS Franz (illustrateur),2009.0,,,Italie,1-5,12,"Historique, Moyen-Âge, Agriculture",5.0,Divers 13,Placement d'ouvriers,Combinaison / collection,,,,
1368.0,Diamonds Club,RAVENSBURGER Spieleverlag(Editeur - Distributeur) / ,DORN Rudiger(Auteur) / VOHWINKEL Franz(Illustration - graphisme) /,2008.0,,Boite,Allemagne,2-4,10,"Historique, Xixe Siècle, Angleterre",5.0,Divers 16,Combinaison / collection,Placement d'ouvriers,,,,
9701.0,Amazonas,KOSMOS(Editeur - Distributeur) / ,Mirko SUZUKI(Illustration - graphisme) / DORRA Stefan(Auteur) / STEPHAN Claus(Illustration - graphisme) /,2005.0,,Boite,Allemagne,3-4,10,"Historique, Animaux, Exploration",5.0,,Combinaison / collection,Déplacement / exploration,,,,
9999.0,Isla Dorada,FUNFORGE(Editeur - Distributeur) / ,FAIDUTTI Bruno (Auteur) / MOON R. Alan (Illstration) / ANGIOLINO Andrea (illustrateur) / PAGLIA Piergiorgio (Illustrateur),2010.0,,,France,3-6,10,"Hstorique, Exploration",5.0,Divers 16,,,,,,
1378.0,Kreta,NORIS SPIELE(Editeur - Distributeur) / GOLDSIEBER SPIELE(Editeur - Distributeur) / ,DORRA Stefan(Auteur) /,2005.0,,Boite,France,2-4,11,"Historique, Moyen-Age",5.0,Divers 16,Majorité / influence,Déplacement / exploration,Gestion de main,,,
5536.0,Magna Grecia,VENICE CONNECTION(Editeur - Distributeur) / CLEMENTONI(Editeur - Distributeur) / ,COLOVINI Léo(Auteur) / SCHACHT Michael(Auteur) /,2003.0,,Estimation,France,2-4,12,"Historique, Antiquité",5.0,Antiquite,Placement de tuiles,Connexion,,,,
1381.0,Mauer Bauer,HANS IM GLUCK(Editeur - Distributeur) / ,COLOVINI Léo(Auteur) / VOHWINKEL Franz(Auteur) /,2006.0,,Boite,Allemagne,2-4,8,"Historique, Moyen-Âge",5.0,Divers 16,Lancers de dés,Gestion de main,,,,
7545.0,Talisman Le Jeu Des Quêtes Magiques Les Hautes Terres (4E Édition Révisée),FANTASY FLIGHT GAMES(Editeur) / Edge Entertainment(Editeur) / GAMES WORKSHOP(Licence) / ,PRIESTLEY Rick(Auteur) / HARRIS Robert(Auteur) / GOODENOUGH John(Auteur) /,2008.0,,"Boite : 1983, 1985, 1994, 2007, Cette Édition 2008",Allemagne,2-6,9,Médiéval Fantastique,6.0,Hf,Lancers de dés,Déplacement / exploration,,,,
1365.0,Alchemist,AMIGO(Editeur - Distributeur) / VENICE CONNECTION(Licence) / ,CARLO A. ROSSI(Créateur - Designer) / BAGA Volkan(Illustration - graphisme) /,2008.0,,Boite,France,2-5,10,,6.0,Divers 16,Majorité / influence,Combinaison / collection,,,,
10089.0,Goblins Inc,IELLO(Editeur - Distributeur) / CZECH GAMES EDITION(Editeur) / ,Filip NEDUK(Auteur) /,2012.0,,,France,2-4,13,"Fantastique, Véhicule",6.0,Sf 3,Placement de tuiles,Lancers de dés,,,,
9647.0,Contrees Fabuleuses (Les),LUDOPATHES(Editeur - Distributeur) / ,Damien CATALA (Auteur) (Illustrateur),2011.0,,,France,2-5,10,"Fantastique, Conte De Fée",6.0,Divers 14,Placement de tuiles,Déplacement / exploration,,,,
10838.0,Au Service De Sa Majeste,Edge (Ubik)(Editeur - Distributeur) / ,Yohan LEMONNIER(Auteur) /,2015.0,,Règle,France,2-4,14,"Fantasy, Science-Fiction, Steampunk",6.0,,Mise / enchère,Négoce / marchandage,Combinaison / collection,,,
3957.0,Cafe International (Veur),MATTEL / ,THOMPSON J. W.(Illustration - graphisme) / HOFFMANN Rudi(Auteur) /,1989.0,,Boite,France,2-4,10,"Bar, Restauration (Lieu Et Métier)",8.0,Vie Quotidienne 2,Combinaison / collection,Gestion de main,,,,
3956.0,Cafe International (Amigo),AMIGO / ,THOMPSON J. W.() / HOFFMANN Rudi() /,1999.0,,"Boite Porte Le Logo Spiel Des Jahres 1989, Mention",France,2-4,10,"Vie Quotidienne, Métiers, Bar Et Restauration",8.0,Vie Quotidienne 2,Combinaison / collection,Gestion de main,,,,
6246.0,Restaurant,Big Bad Wolf / FLYING TURTLE GAMES / ,SIEGERS Roland() / SOHIER JC() / LEFORT A.() /,1987.0,,Boite,France,3-6,8,"Metiers, Restauration (Lieu Et Métier)",8.0,Vie Quotidienne 2,Mise / enchère,Combinaison / collection,,,,
1236.0,Vino,Simba Toys / GOLDSIEBER SPIELE / ,CONRAD Christward() /,1999.0,,Boite,France,3-5,12,Italie Economie Commerce Vin Vignoble,8.0,Ent Carton 2,Mise / enchère,Majorité / influence,,,,
5298.0,Paf (Le Jeu Du),PLAY BAC(Editeur) / ,CABU(Dessinateur) / PIVOT Bernard(Auteur) /,1988.0,,Règle,France,2-6,,"Cabu, Pivot Bernard, Television (Sur La)",9.0,"Tele, Radio, Media 3",Chance,Parcours,,,,
4665.0,E = M6,M6 Interactions / RAVENSBURGER / ,,2002.0,,"Boite, Licence En 2001",France,2-6- en équipes,8,"Animaux, Connaissances, Corps Humain, Espace, Nature, Television (Émission), Sciences Et Techniques",9.0,"Tele, Radio, Media 1",Connaissances,Parcours,,,,
6172.0,Qui Veut Gagner Des Millions Junior,TF1 Games / POWER GAMES / ,CELADOR PRODUCTIONS LtD.() /,2001.0,,Boite,France,2-5- en équipes,8,"Connaissances, Television (Jeu)",9.0,"Tele, Radio, Media 1",Connaissances,,,,,
6171.0,Qui Veut Gagner Des Millions,TF1 Games / POWER GAMES / ,CELADOR PRODUCTIONS LtD.() /,2000.0,,Boite,France,2-5,12,"Foucault Jean-Pierre, Television (Jeu) Tf1 Emission",9.0,"Tele, Radio, Media 1",Connaissances,,,,,
5547.0,Maillon Faible (Le),HASBRO / ,,2001.0,,Boite,France,4-9,12,"Connaissances, Television (Jeu)",9.0,"Tele, Radio, Media 3",Connaissances,,,,,
3807.0,Bill Le Jeu,TILSIT éditions / ,Hubert Productions() /,2000.0,,Boite,France,2-6,,"Ambiance, Gages, Television (Émission), Television (Jeu)",9.0,"Tele, Radio, Media 1",Parcours,Observation,Mime,,,
5791.0,Motus (Druon),EDITIONS JEUX DRUON / ,,1999.0,,Boite,France,2-4,8,"Lettres, Mots, Television (Jeu) France 2",9.0,"Tele, Radio, Media 3",Expression écrite,,,,,
5792.0,Motus (Nathan),JEUX NATHAN / ,,1994.0,,Boite,France,2-4,8,"Lettres, Mots, Television (Jeu) France 2",9.0,"Tele, Radio, Media 3",Expression écrite,,,,,
5257.0,1000 Francs (Jeu Des) (Jeu) (Roger Lansac),RTF(Licence) / Jouets Educatifs Universels JEU(Editeur) / ,MONCEAU Simon(Créateur - Designer) / BERLOQUIN Pierre(Créateur - Designer) / KUBNICK Henri(Idée) /,1960.0,1965.0,Estimation,France,2-6,,Radio (Jeu) Connaissance Qr,9.0,Droits Derives Pb Medias Cine,Connaissances,,,,,
,Art Et Magie De La Cuisine,ORTF(Licence) / Jouets Educatifs Universels JEU(Editeur) / ,Edith Lansac (Autrice),,,,France,2-5,,"Adaptation Émission Télévion, Restauration Et Gastronomie",9.0,,Combinaison / collection,,,,,
3987.0,Cap'Tain Carcasse,MB France(Editeur - Distributeur) / ,,1990.0,,Boite,France,2-4,5,,10.0,Mer 3,,,,,,
5093.0,Hop Cocotier,DUJARDIN International / ,,1999.0,,Boite,Pays Bas,2-4,5,"Animaux, Arbres, Singes",10.0,Animaux Sauvages 1,,,,,,
3371.0,4 Saisons (Les),RAVENSBURGER(Editeur - Distributeur) / ,MAKUS Andrea(Créateur - Designer) / LAUPHEIMER Horst(Illustration - graphisme) /,1987.0,,Boite,France,2-4,4,"Nature, Saison",10.0,Nature 2,,,,,,
4376.0,Cric Crac Croc (Sentosphère),SENTOSPHERE / ,GERCHAMBEAU Max() / DEBROISE Véronique() / GORDE Monique() /,2001.0,,Boite,France,2-4,,"Animaux, Ecureuils, Lapins / Lievres, Nourriture (Des Animaux), Ours, Perroquet, Singes, Souris",10.0,Nature 2,,,,,,
5332.0,Jumping Cepes,DUJARDIN International / ,,2003.0,,Boite,France,2-4,5,"Champignons, Foret, Nature",10.0,Nature 2,,,,,,
5497.0,Loto Des Odeurs (Le) 1999,SENTOSPHERE / ,DEBROISE Véronique() /,1999.0,,Boite,France,1-5,4,"Educatif, Fleurs, Fruits, Maison, Nature, Odeurs",10.0,Nature 2,,,,,,
4140.0,Chutes A Gogo,RAVENSBURGER / ,KOBBERT Max Jurgen() /,1992.0,1993.0,Boite,France,1-4,5,"Arbres, Nature",10.0,Nature 2,,,,,,
806.0,Rencontre Cosmique (1986),DESCARTES (jeux)(Editeur) / EON PRODUCTIONS LIMITED(Licence) / West End Games Inc(Licence) / ,NORTON Bill(Auteur) / OLOTKA Peter(Auteur) / KITTREDGE Jack(Auteur) / EBERLE Bill(Auteur) /,1986.0,,Boite,France,2-6,12,"Science Fiction, Fantastique",11.0,Sf 3,Placement de tuiles,Combinaison / collection,,,,
10435.0,Prosperity,YSTARI Games(Editeur - Distributeur) / ,KNIZIA Reiner(Auteur) / NERIAC(Illustration - graphisme) / BLEASDALE Sébastien(Auteur) /,2013.0,,Boite,France,2-4,13,"Science Fiction, Anticipation",11.0,Sf 5,Alliance,Gestion de main,Négoce / marchandage,,,
10433.0,Invaders,WHITE GOBELIN GAMES(Editeur - Distributeur) / ,MARK CHAPLIN(Auteur) / CHECHU NIETO(Illustration - graphisme) / XAVIER CARRASCOSA (Illustration - graphisme) /,2013.0,,,France,2,12,"Science Fiction, Fantastique",11.0,Sf 5,Gestion de main,,,,,
10299.0,Quantum,FUNFORGE(Editeur - Distributeur) / ,YANNER Kieran(Auteur) / Eric ZIMMERMAN(Auteur) / Georges BOUCHELAGHEM(Auteur) /,2013.0,,Boite,Allemagne,2-4,13,"Science Fiction, Anticipation, Exploration Spatiale",11.0,Sf 7,Majorité / influence,Déplacement / exploration,Lancers de dés,,,
10011.0,Race For Galaxie Ext 2 Rebelles Contre Imperium,YSTARI Games(Editeur - Distributeur) / ,Tom LEHMANN (Auteur),2009.0,,,France,1-6,12,"Science-Fiction, Conquête Spatiale",11.0,Divers 13,Gestion de main,Gestion de ressources,Combinaison / collection,,,
10012.0,Race For Galaxie Ext 3 Au Bord De L'Abîme,YSTARI Games(Editeur - Distributeur) / ,Tom LEHMANN (Auteur),2010.0,,,Allemagne,1-6,12,"Science-Fiction, Conquête Spatiale",11.0,Divers 13,Gestion de main,Gestion de ressources,Combinaison / collection,,,
,Hoopla (The Old English Game Of),House of marbles,,,,,Pays-Bas,,5,,11.0,,,,,,,
,Cliko,FoxMind ,Michel & Robert Lyons,2005.0,,,France,1,8,,11.0,,,,,,,
,Soccer Game - Year Round Soccer Fun,R&R Associates,,1988.0,,,Republique Tcheque,2-4,4,,11.0,,,,,,,
,Winter Olympics,ABC Sports,"Garry Hare, Kelly Jones, Tom Volotta",1987.0,,,Angleterre,2-6,8,,11.0,,,,,,,
6687.0,Terre Et Volcans,JEUX NATHAN / ,,1976.0,,Boite,France,1 ou plus,10,"Connaissances, Qr, Nature, Volcans, Haroun Tazieff",11.0,Nature 2,,,,,,
8851.0,Identik,ASMODEE(Editeur - Distributeur) / Braincog(Licence) / ,KOHOUT Amanda A(Auteur) / JACOBSON William P(Auteur) /,2009.0,,As D'Or 2010 - Cannes - France,Pays Bas,3 ou plus,8,Ambiance Dessin,12.0,Ambiance 3,Expression orale,Dessin,Contre la montre,,,
5371.0,Kazoomodo,ZOOM / ,,1997.0,,,Italie,3-6,14,"Ambiance, Gages, Pâte À Modeler",12.0,Ambiance 2,Expression orale,Observation / écoute,,,,
4058.0,C'Est Du Delire,RAVENSBURGER / ,BRODDACK Christian() / KAES Bertram() /,1992.0,,Boite,Pays Bas,3-6,12,"Ambiance, Gages",12.0,Ambiance 3,Expression orale,Connaissances,,,,
